date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
7/20/2020,23691,607,571.714,1087,9,9.857,530.99,13.605,12.814,24.363,0.202,0.221,1.15,64,1.434,74.07,44616626,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748
7/21/2020,24278,587,580.286,1100,13,10.286,544.147,13.157,13.006,24.654,0.291,0.231,1.14,56,1.255,74.07,44616626,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748
7/22/2020,24872,594,586,1111,11,10.143,557.46,13.313,13.134,24.901,0.247,0.227,1.13,51,1.143,74.07,44616626,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748
7/23/2020,25484,612,589.857,1124,13,10.286,571.177,13.717,13.221,25.192,0.291,0.231,1.12,66,1.479,74.07,44616626,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748
7/25/2020,26764,605,602.143,1146,10,11.143,599.866,13.56,13.496,25.685,0.224,0.25,1.09,63,1.412,74.07,44616626,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748
7/26/2020,27357,593,610.429,1155,9,11,613.157,13.291,13.682,25.887,0.202,0.247,1.08,64,1.434,74.07,44616626,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748
7/27/2020,27973,616,611.714,1163,8,10.857,626.964,13.807,13.71,26.067,0.179,0.243,1.06,58,1.3,79.63,44616626,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748
7/31/2020,30394,563,605,1210,10,10.571,681.226,12.619,13.56,27.12,0.224,0.237,0.98,65,1.457,79.63,44616626,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748
8/4/2020,32504,532,555.571,1248,9,10.571,728.518,11.924,12.452,27.972,0.202,0.237,0.95,54,1.21,79.63,44616626,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748
8/5/2020,33055,551,546.571,1261,13,10.714,740.867,12.35,12.25,28.263,0.291,0.24,0.95,55,1.233,79.63,44616626,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748
